frame,time_s,x,y,z,conf,audio_rms,centroid_hz,peak_hz,est_rpm
226,7.533,64.67,294.43,0.01219,0.255,NaN,NaN,172.27,2583.98
227,7.567,60.66,294.71,0.01204,NaN,NaN,NaN,172.27,2583.98
228,7.600,50.06,312.32,0.01218,0.281,NaN,NaN,172.27,2583.98
229,7.633,61.66,251.58,0.00925,0.323,NaN,NaN,172.27,2583.98
230,7.667,68.24,216.91,0.00901,0.317,NaN,NaN,172.27,2583.98
231,7.700,72.28,195.73,0.00899,0.344,NaN,NaN,172.27,2583.98
232,7.733,74.95,182.46,0.00892,0.281,NaN,NaN,172.27,2583.98
233,7.767,71.95,179.44,0.00869,NaN,NaN,NaN,172.27,2583.98
234,7.800,68.94,176.43,0.00847,NaN,NaN,NaN,172.27,2583.98
235,7.833,65.93,173.41,0.00825,NaN,NaN,NaN,165.31,2479.58
236,7.867,75.60,141.34,0.00854,0.257,NaN,NaN,172.27,2583.98
237,7.900,78.19,130.06,0.00846,0.320,NaN,NaN,161.50,2422.49
238,7.933,79.50,123.96,0.00866,0.269,NaN,NaN,161.50,2422.49
239,7.967,77.15,119.79,0.00847,NaN,NaN,NaN,161.50,2422.49
240,8.000,79.99,118.66,0.00861,0.495,NaN,NaN,161.50,2422.49
241,8.033,81.74,117.85,0.00867,0.649,NaN,NaN,161.50,2422.49
242,8.067,82.61,117.83,0.00868,0.561,NaN,NaN,161.50,2422.49
243,8.100,125.42,94.93,0.00979,0.362,NaN,NaN,161.50,2422.49
244,8.133,90.11,104.36,0.01450,0.324,NaN,NaN,161.50,2422.49
245,8.167,88.43,100.34,0.01453,NaN,NaN,NaN,161.50,2422.49
246,8.200,62.72,111.22,0.01470,0.250,NaN,NaN,161.50,2422.49
247,8.233,60.30,107.66,0.01474,NaN,NaN,NaN,161.50,2422.49
248,8.267,57.88,104.10,0.01478,NaN,NaN,NaN,161.50,2422.49
249,8.300,55.46,100.55,0.01482,NaN,NaN,NaN,161.50,2422.49
250,8.333,53.05,96.99,0.01486,NaN,NaN,NaN,161.50,2422.49
251,8.367,151.27,83.02,0.00989,0.262,NaN,NaN,164.97,2474.53
252,8.400,177.68,78.55,0.01007,0.503,NaN,NaN,172.27,2583.98
253,8.433,190.50,76.29,0.01028,0.584,NaN,NaN,172.27,2583.98
254,8.467,198.18,75.29,0.01020,0.497,NaN,NaN,172.27,2583.98
255,8.500,203.33,74.93,0.00992,0.396,NaN,NaN,172.27,2583.98
256,8.533,206.92,75.02,0.00999,0.454,NaN,NaN,172.27,2583.98
257,8.567,209.31,75.52,0.01008,0.380,NaN,NaN,172.27,2583.98
258,8.600,210.94,76.18,0.01019,0.405,NaN,NaN,172.27,2583.98
259,8.633,212.38,76.99,0.01001,0.299,NaN,NaN,163.58,2453.71
260,8.667,213.08,77.55,0.01009,0.455,NaN,NaN,161.50,2422.49
261,8.700,214.19,78.08,0.00973,0.452,NaN,NaN,168.80,2531.94
